Volume,VWAP,Open,Close,High,Low,Timestamp,Transactions,Datetime
30551.0,226.9412,226.87,226.9408,227.01,226.85,1704821400000,406,2024-01-09 17:30:00
22711.0,226.9023,226.9392,226.865,226.95,226.79,1704821460000,288,2024-01-09 17:31:00
23617.0,226.952,226.85,226.99,227.0199,226.85,1704821520000,337,2024-01-09 17:32:00
26631.0,226.8786,226.96,226.82,226.9752,226.78,1704821580000,231,2024-01-09 17:33:00
19418.0,226.7401,226.83,226.72,226.85,226.69,1704821640000,336,2024-01-09 17:34:00
25026.0,226.8152,226.7499,227.06,227.06,226.69,1704821700000,347,2024-01-09 17:35:00
23471.0,227.0197,227.011,226.93,227.1,226.93,1704821760000,285,2024-01-09 17:36:00
18374.0,226.9294,226.9506,226.92,227.03,226.7501,1704821820000,302,2024-01-09 17:37:00
14039.0,226.8402,226.9139,226.7701,226.925,226.7701,1704821880000,217,2024-01-09 17:38:00
13986.0,226.7724,226.79,226.74,226.81,226.73,1704821940000,253,2024-01-09 17:39:00
33619.0,226.7028,226.7504,226.78,226.7991,226.6295,1704822000000,420,2024-01-09 17:40:00
8041.0,226.7665,226.83,226.7998,226.83,226.7,1704822060000,166,2024-01-09 17:41:00
16720.0,226.8084,226.81,226.91,226.915,226.7,1704822120000,247,2024-01-09 17:42:00
18199.0,226.9399,226.91,226.98,227.0,226.85,1704822180000,254,2024-01-09 17:43:00
8378.0,226.9097,226.9736,226.96,226.9799,226.85,1704822240000,194,2024-01-09 17:44:00
8897.0,226.7812,226.9,226.6911,226.915,226.6911,1704822300000,197,2024-01-09 17:45:00
15784.0,226.6753,226.6807,226.715,226.715,226.62,1704822360000,241,2024-01-09 17:46:00
12240.0,226.7383,226.7236,226.735,226.85,226.6978,1704822420000,231,2024-01-09 17:47:00
9211.0,226.7628,226.79,226.77,226.79,226.71,1704822480000,192,2024-01-09 17:48:00
13121.0,226.7946,226.771,226.75,226.85,226.74,1704822540000,247,2024-01-09 17:49:00
23629.0,226.8607,226.7301,226.9675,226.9675,226.71,1704822600000,343,2024-01-09 17:50:00
28228.0,226.9815,226.9727,226.88,227.0599,226.88,1704822660000,365,2024-01-09 17:51:00
19751.0,226.9723,226.9427,226.93,227.0661,226.89,1704822720000,257,2024-01-09 17:52:00
9564.0,226.8973,226.8702,226.94,226.95,226.86,1704822780000,211,2024-01-09 17:53:00
9719.0,226.9304,226.9,226.98,226.9899,226.86,1704822840000,187,2024-01-09 17:54:00
45212.0,227.0865,226.9735,227.2734,227.33,226.7101,1704822900000,542,2024-01-09 17:55:00
34973.0,227.0579,227.26,227.05,227.26,226.9,1704822960000,562,2024-01-09 17:56:00
28184.0,227.2419,227.0867,227.3,227.34,227.0605,1704823020000,404,2024-01-09 17:57:00
18908.0,227.2231,227.3,227.1813,227.3,227.14,1704823080000,325,2024-01-09 17:58:00
41395.0,227.2609,227.1701,227.135,227.35,227.1339,1704823140000,463,2024-01-09 17:59:00
24691.0,227.1433,227.16,227.2984,227.3,227.0501,1704823200000,326,2024-01-09 18:00:00
37344.0,227.3296,227.2899,227.27,227.43,227.25,1704823260000,425,2024-01-09 18:01:00
55471.0,227.4997,227.27,227.39,227.9099,227.2001,1704823320000,789,2024-01-09 18:02:00
25626.0,227.3925,227.4399,227.5137,227.54,227.28,1704823380000,384,2024-01-09 18:03:00
34394.0,227.7281,227.5,227.86,227.93,227.49,1704823440000,448,2024-01-09 18:04:00
34533.0,227.7039,227.85,227.68,227.895,227.4301,1704823500000,388,2024-01-09 18:05:00
27746.0,227.6923,227.7,227.65,227.77,227.6001,1704823560000,316,2024-01-09 18:06:00
18336.0,227.759,227.655,227.7082,227.8492,227.65,1704823620000,241,2024-01-09 18:07:00
31140.0,227.8148,227.725,227.9,227.9,227.725,1704823680000,358,2024-01-09 18:08:00
57499.0,227.9719,227.89,228.0339,228.0679,227.8401,1704823740000,583,2024-01-09 18:09:00
79244.0,228.2801,228.035,228.38,228.7899,227.98,1704823800000,806,2024-01-09 18:10:00
64331.0,228.4517,228.3702,228.355,228.55,228.2901,1704823860000,698,2024-01-09 18:11:00
62219.0,228.3207,228.3999,228.1771,228.435,228.07,1704823920000,512,2024-01-09 18:12:00
33639.0,228.3939,228.165,228.6199,228.6199,228.165,1704823980000,429,2024-01-09 18:13:00
53253.0,228.5896,228.58,228.56,228.6799,228.52,1704824040000,448,2024-01-09 18:14:00
22852.0,228.452,228.55,228.42,228.56,228.36,1704824100000,265,2024-01-09 18:15:00
27285.0,228.4603,228.48,228.4,228.55,228.38,1704824160000,359,2024-01-09 18:16:00
55876.0,228.2398,228.38,228.01,228.58,227.98,1704824220000,675,2024-01-09 18:17:00
44670.0,228.0012,227.99,227.9,228.23,227.885,1704824280000,551,2024-01-09 18:18:00
19276.0,227.9127,227.87,227.91,227.99,227.86,1704824340000,203,2024-01-09 18:19:00
21234.0,227.8062,227.91,227.794,227.91,227.71,1704824400000,330,2024-01-09 18:20:00
25188.0,227.9142,227.8237,227.9307,228.0,227.81,1704824460000,227,2024-01-09 18:21:00
35904.0,227.9948,227.96,227.9997,228.0719,227.93,1704824520000,299,2024-01-09 18:22:00
32919.0,227.9303,227.93,227.84,228.05,227.835,1704824580000,337,2024-01-09 18:23:00
37749.0,227.8387,227.83,227.81,228.0,227.75,1704824640000,439,2024-01-09 18:24:00
26530.0,227.6873,227.8405,227.67,227.8405,227.59,1704824700000,333,2024-01-09 18:25:00
15565.0,227.6923,227.65,227.64,227.77,227.64,1704824760000,215,2024-01-09 18:26:00
19439.0,227.8581,227.66,227.98,227.99,227.645,1704824820000,274,2024-01-09 18:27:00
13378.0,227.8072,227.95,227.69,227.98,227.66,1704824880000,260,2024-01-09 18:28:00
37150.0,227.6122,227.685,227.47,227.71,227.47,1704824940000,525,2024-01-09 18:29:00
38562.0,227.4281,227.5,227.37,227.57,227.31,1704825000000,545,2024-01-09 18:30:00
23031.0,227.4502,227.342,227.4701,227.56,227.342,1704825060000,266,2024-01-09 18:31:00
15533.0,227.5253,227.5,227.545,227.6,227.45,1704825120000,204,2024-01-09 18:32:00
20287.0,227.5067,227.58,227.46,227.6,227.33,1704825180000,263,2024-01-09 18:33:00
19437.0,227.3902,227.415,227.4367,227.51,227.27,1704825240000,313,2024-01-09 18:34:00
14945.0,227.4413,227.4,227.52,227.52,227.31,1704825300000,229,2024-01-09 18:35:00
22405.0,227.5614,227.5,227.58,227.67,227.42,1704825360000,287,2024-01-09 18:36:00
22284.0,227.6476,227.64,227.62,227.715,227.58,1704825420000,325,2024-01-09 18:37:00
17479.0,227.6258,227.68,227.54,227.74,227.48,1704825480000,275,2024-01-09 18:38:00
11447.0,227.5723,227.505,227.4721,227.65,227.47,1704825540000,195,2024-01-09 18:39:00
16726.0,227.5899,227.505,227.665,227.68,227.49,1704825600000,191,2024-01-09 18:40:00
12938.0,227.6129,227.6688,227.58,227.69,227.5,1704825660000,233,2024-01-09 18:41:00
23236.0,227.584,227.55,227.5102,227.7,227.47,1704825720000,289,2024-01-09 18:42:00
49383.0,227.4374,227.5,227.3026,227.6,227.26,1704825780000,747,2024-01-09 18:43:00
9524.0,227.3814,227.345,227.38,227.4424,227.3,1704825840000,178,2024-01-09 18:44:00
14294.0,227.4206,227.3721,227.4733,227.48,227.35,1704825900000,219,2024-01-09 18:45:00
15166.0,227.5656,227.4481,227.6601,227.69,227.44,1704825960000,259,2024-01-09 18:46:00
17174.0,227.6856,227.69,227.7301,227.77,227.5701,1704826020000,267,2024-01-09 18:47:00
34386.0,227.9158,227.77,227.96,228.03,227.76,1704826080000,468,2024-01-09 18:48:00
32853.0,228.0487,227.965,228.1193,228.1193,227.965,1704826140000,362,2024-01-09 18:49:00
43958.0,228.3237,228.11,228.405,228.57,228.1,1704826200000,542,2024-01-09 18:50:00
41142.0,228.3229,228.45,228.1933,228.5,228.05,1704826260000,433,2024-01-09 18:51:00
39409.0,228.3481,228.1999,228.3486,228.4,228.1901,1704826320000,348,2024-01-09 18:52:00
32491.0,228.1569,228.32,228.07,228.38,228.02,1704826380000,355,2024-01-09 18:53:00
33639.0,227.9961,228.095,227.93,228.12,227.9,1704826440000,443,2024-01-09 18:54:00
20398.0,227.8425,227.9384,227.81,227.953,227.7401,1704826500000,257,2024-01-09 18:55:00
28786.0,227.651,227.79,227.64,227.79,227.53,1704826560000,301,2024-01-09 18:56:00
31579.0,227.556,227.63,227.535,227.6899,227.45,1704826620000,390,2024-01-09 18:57:00
28360.0,227.5245,227.55,227.475,227.5999,227.451,1704826680000,270,2024-01-09 18:58:00
31648.0,227.4517,227.46,227.4,227.5299,227.37,1704826740000,363,2024-01-09 18:59:00
41985.0,227.3779,227.3601,227.3071,227.4899,227.26,1704826800000,357,2024-01-09 19:00:00
37429.0,227.2159,227.34,227.195,227.34,227.14,1704826860000,380,2024-01-09 19:01:00
69440.0,227.0362,227.185,227.0042,227.22,226.9001,1704826920000,1043,2024-01-09 19:02:00
29400.0,226.9661,227.0121,226.9375,227.0499,226.8701,1704826980000,353,2024-01-09 19:03:00
49407.0,227.0473,226.9471,227.115,227.13,226.9089,1704827040000,509,2024-01-09 19:04:00
36841.0,227.0115,227.08,226.925,227.1525,226.88,1704827100000,462,2024-01-09 19:05:00
91196.0,226.9073,226.9499,226.6375,227.15,226.51,1704827160000,1019,2024-01-09 19:06:00
53752.0,226.7088,226.635,226.5816,226.83,226.55,1704827220000,501,2024-01-09 19:07:00
56651.0,226.5299,226.58,226.42,226.67,226.4,1704827280000,674,2024-01-09 19:08:00
45008.0,226.388,226.41,226.31,226.46,226.3,1704827340000,611,2024-01-09 19:09:00
38390.0,226.3024,226.3585,226.33,226.38,226.22,1704827400000,536,2024-01-09 19:10:00
30553.0,226.3161,226.303,226.365,226.4199,226.22,1704827460000,358,2024-01-09 19:11:00
63306.0,226.1993,226.3999,226.0477,226.4,226.03,1704827520000,750,2024-01-09 19:12:00
99661.0,226.0307,226.0599,225.87,226.225,225.81,1704827580000,1312,2024-01-09 19:13:00
28918.0,225.9573,225.9699,225.94,226.04,225.862,1704827640000,343,2024-01-09 19:14:00
64531.0,225.9233,225.96,226.1813,226.2,225.7,1704827700000,779,2024-01-09 19:15:00
54619.0,225.9786,226.19,226.115,226.19,225.6897,1704827760000,581,2024-01-09 19:16:00
29037.0,226.0763,226.1383,226.07,226.1725,225.95,1704827820000,368,2024-01-09 19:17:00
26451.0,225.9957,226.0513,225.93,226.11,225.9,1704827880000,434,2024-01-09 19:18:00
30334.0,225.9783,225.95,226.1,226.15,225.88,1704827940000,479,2024-01-09 19:19:00
29708.0,225.938,226.0601,225.86,226.085,225.8,1704828000000,419,2024-01-09 19:20:00
16830.0,225.9349,225.87,225.9806,226.0,225.8629,1704828060000,270,2024-01-09 19:21:00
32082.0,225.9664,226.0065,225.91,226.12,225.84,1704828120000,374,2024-01-09 19:22:00
82887.0,225.6326,225.89,225.58,225.89,225.46,1704828180000,1086,2024-01-09 19:23:00
